Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Year
Los Angeles Chargers,783367,202687,580680,76324,25381,25386,25374,77373,54685,25388,65878,Bye,60835,25015,93012,25320,25393,75011,77562,25430,,2017
Los Angeles Rams,1062261,507136,555125,60128,56612,70178,91869,60745,56232,73736,Bye,76877,60032,66809,62006,63986,67752,69077,60097,66125,,2017
Miami Dolphins,1051161,541022,510139,Bye,25381,77562,84423,65135,70593,65025,70408,65139,72790,65089,65878,65092,65548,62202,65325,65571,,2017
Minnesota Vikings,1099905,533769,566136,66606,65971,66390,66730,61834,66848,66751,74237,Bye,74476,66809,66613,71185,73728,66833,78092,66802,,2017
New England Patriots,1099028,527024,572004,65878,73168,65878,65878,64476,77562,65878,65878,Bye,76820,77357,65878,68499,65548,68574,65878,65878,,2017
New Orleans Saints,1146046,585113,560933,66606,73168,73775,84423,Bye,73117,78380,73192,73121,67501,73138,62006,73171,72866,73018,73188,55376,,2017
New York Giants,1183037,617434,565603,93183,77004,69596,63916,77373,76721,78527,Bye,76877,70133,76363,73210,54994,78125,76896,63850,76269,,2017
New York Jets,1143358,620496,522862,68751,54729,77562,77562,62032,77562,65025,77562,77562,57911,Bye,77562,77562,75518,73018,77562,65878,,2017
Oakland Raiders,988483,461137,527346,69089,54729,77123,76909,54980,54685,55090,69599,65139,Bye,77357,53930,54994,74461,55372,69596,25430,,2017
Philadelphia Eagles,1117141,556768,560373,78685,74971,69596,25374,69596,74373,69596,69596,69596,Bye,93247,69596,69075,67752,76896,69596,69596,,2017
Pittsburgh Steelers,1035491,499768,535723,67431,65971,61172,71126,66237,76994,65363,64983,Bye,66146,60703,62147,56029,60069,68574,71842,50704,,2017
San Francisco 49ers,1104010,561155,542855,70178,68729,70178,64121,65612,75568,70133,69596,70133,70133,Bye,70134,61302,71802,70133,70133,66125,,2017
Seattle Seahawks,1129943,551809,578134,78381,68729,69127,68872,60745,Bye,78527,69025,68927,64639,69026,70134,69075,64431,69077,92150,69078,,2017
Tampa Bay Buccaneers,1036961,479618,557343,Bye,56640,66390,63916,64476,63999,68561,58545,73121,57911,65089,71036,77684,60372,62382,71463,55376,,2017
Tennessee Titans,1040119,525214,514905,69089,61709,69127,71804,65135,63888,59061,Bye,67322,67432,60703,62207,62758,64153,70133,60097,65501,,2017
Washington Commanders,1137639,601405,536234,78685,56612,77123,74587,Bye,75568,69596,78428,68927,74476,73138,73210,91712,25393,71026,72889,76269,,2017
Arizona Cardinals,1083135,518652,564483,64864,64230,68647,64622,70178,64709,65089,74088,Bye,65127,66808,69233,64939,65750,65072,69050,80729,,2016
Atlanta Falcons,1116392,559998,556394,69382,54081,73003,70508,76802,69071,69832,70165,57797,69596,Bye,69233,69879,82495,70164,73549,70835,,2016
Baltimore Ravens,1134133,568823,565310,71104,67431,60127,71152,71318,78487,78160,Bye,71286,70921,93056,70903,70916,66829,71223,66276,54944,,2016
Buffalo Bills,1098702,548073,550629,71104,70256,68647,66829,83679,70003,65658,70442,69084,Bye,61356,67849,54759,69657,66529,64690,78160,,2016
Carolina Panthers,1159680,590343,569337,76843,74143,73813,70508,73425,73138,Bye,74088,86109,74181,73288,54909,69104,73856,76689,73549,62037,,2016
Chicago Bears,1060607,482951,577656,71933,62268,90554,60841,66622,61054,78217,60422,Bye,62898,78898,59494,59782,61726,61137,57953,66808,,2016
Cincinnati Bengals,1088770,508071,580699,78160,65072,63850,60834,91653,66829,65047,84488,Bye,76218,61356,70903,55456,60028,62096,71836,54944,,2016
Cleveland Browns,1044825,514489,530336,69596,67431,65176,76249,67431,60897,65047,67431,67431,70921,67431,60034,Bye,60028,66529,57272,55921,,2016
Dallas Cowboys,1322087,740318,581769,92867,80612,90554,70178,91653,78481,Bye,93103,67431,67737,93056,93099,66860,80874,93101,92885,69596,,2016
Denver Broncos,1133943,614193,519750,76843,76379,63850,60375,76802,58904,76865,76756,54957,73138,Bye,76819,63075,68780,76893,76671,76836,,2016
Detroit Lions,1075305,486342,588963,65566,58466,78411,60841,58047,56018,60461,71882,66807,Bye,61486,63793,73137,61726,79434,92885,66345,,2016
Green Bay Packers,1169215,625727,543488,63179,66813,78411,Bye,78401,78481,78217,70165,78437,69116,77137,69596,77867,78057,61137,77856,66345,,2016
Houston Texans,1132210,574947,557263,71933,71890,66829,71815,66683,71891,76865,71882,Bye,62091,76473,71897,77867,65250,71803,71836,65205,,2016
Indianapolis Colts,1100210,524393,575817,65566,76379,64747,83764,66622,71891,65470,65417,78437,Bye,65048,66583,78160,65250,66820,54896,65160,,2016
Jacksonville Jaguars,1031602,517172,514430,63179,52165,60127,83764,Bye,61054,62614,61619,73294,62091,61486,67849,63075,62701,71803,59621,65160,,2016
Kansas City Chiefs,1115214,586624,528590,73238,71890,71587,61278,Bye,54211,76282,65417,73294,74181,72277,76819,69879,75191,68084,76671,54915,,2016
Los Angeles Rams,1198268,665318,532950,70178,91046,55009,64622,83679,56018,74121,Bye,86109,78160,83483,73067,66829,82495,69067,83656,80729,,2016
